TIME    	TRYING	CONNECTED
1141084124 	10.4	10.4
1141084157 	6.03	6.03 # interval length 33 seconds
1141084218 	0	0 # interval length 61 seconds
1141084248 	10.53	10.53
1141084281 	5.9	5.9 # interval length 33 seconds
1141084339 	0	0 # interval length 58 seconds
1141084369 	10.9	10.9
1141084401 	5.75	5.75 # interval length 32 seconds
1141084459 	0	0 # interval length 58 seconds
1141084489 	10.83	10.83
1141084521 	5.84	5.84 # interval length 32 seconds
1141084580 	0	0 # interval length 59 seconds
1141084610 	10.83	10.83
1141084642 	5.81	5.81 # interval length 32 seconds
1141084701 	0	0 # interval length 59 seconds
1141084731 	10.7	10.7
1141084763 	5.96	5.96 # interval length 32 seconds
1141084824 	0	0 # interval length 61 seconds
1141084854 	11.03	11.03
1141084885 	5.83	5.83 # interval length 31 seconds
1141084945 	0	0 # interval length 60 seconds
1141084975 	10.86	10.86
1141085006 	5.96	5.96 # interval length 31 seconds
1141085065 	0	0 # interval length 59 seconds
1141085095 	10.9	10.86
1141085127 	5.75	5.75 # interval length 32 seconds
1141085189 	0	0 # interval length 62 seconds
1141085219 	11.06	11.06
1141085250 	5.77	5.77 # interval length 31 seconds
1141085313 	0	0 # interval length 63 seconds
1141085343 	10.63	10.63
1141085375 	6	6 # interval length 32 seconds
1141085435 	0	0 # interval length 60 seconds
1141085465 	10.96	10.96
1141085497 	5.68	5.68 # interval length 32 seconds
1141085556 	0	0 # interval length 59 seconds
1141085586 	10.76	10.73
1141085618 	5.87	5.87 # interval length 32 seconds
1141085677 	0	0 # interval length 59 seconds
1141085707 	10.6	10.6
1141085739 	6.03	6.03 # interval length 32 seconds
1141085799 	0	0 # interval length 60 seconds
1141085829 	11.03	11.03
1141085861 	5.62	5.62 # interval length 32 seconds
1141085919 	0	0 # interval length 58 seconds
1141085949 	10.73	10.73
1141085981 	5.9	5.9 # interval length 32 seconds
1141086040 	0	0 # interval length 59 seconds
1141086070 	10.73	10.73
1141086102 	5.9	5.9 # interval length 32 seconds
1141086163 	0	0 # interval length 61 seconds
1141086193 	10.8	10.8
1141086225 	5.84	5.84 # interval length 32 seconds
1141086285 	0	0 # interval length 60 seconds
1141086315 	11.06	11.06
1141086346 	5.77	5.77 # interval length 31 seconds
1141086406 	0	0 # interval length 60 seconds
1141086436 	10.8	10.8
1141086469 	5.66	5.66 # interval length 33 seconds
1141086527 	0	0 # interval length 58 seconds
1141086557 	10.7	10.7
1141086589 	5.9	5.93 # interval length 32 seconds
1141086648 	0	0 # interval length 59 seconds
1141086678 	10.83	10.83
1141086709 	6	6 # interval length 31 seconds
1141086770 	0	0 # interval length 61 seconds
1141086800 	10.96	10.96
1141086832 	5.71	5.71 # interval length 32 seconds
1141086893 	0	0 # interval length 61 seconds
1141086923 	10.7	10.7
1141086956 	5.78	5.78 # interval length 33 seconds
1141087017 	0	0 # interval length 61 seconds
1141087047 	10.96	10.96
1141087080 	5.51	5.51 # interval length 33 seconds
1141087141 	0	0 # interval length 61 seconds
1141087175 	7.97	7.97 # interval length 34 seconds
1141087212 	6.51	6.51 # interval length 37 seconds
1141087263 	0	0 # interval length 51 seconds
1141087293 	10.93	10.93
1141087324 	5.9	5.9 # interval length 31 seconds
1141087387 	0	0 # interval length 63 seconds
1141087417 	10.63	10.63
1141087449 	6	6 # interval length 32 seconds
1141087511 	0	0 # interval length 62 seconds
1141087541 	10.93	10.93
1141087573 	5.71	5.71 # interval length 32 seconds
1141087634 	0	0 # interval length 61 seconds
1141087664 	10.86	10.86
1141087696 	5.78	5.78 # interval length 32 seconds
1141087756 	0	0 # interval length 60 seconds
1141087786 	10.76	10.76
1141087818 	5.87	5.87 # interval length 32 seconds
1141087878 	0	0 # interval length 60 seconds
1141087908 	10.83	10.83
1141087940 	5.81	5.81 # interval length 32 seconds
1141087999 	0	0 # interval length 59 seconds
1141088029 	11	11
1141088060 	5.83	5.83 # interval length 31 seconds
1141088120 	0	0 # interval length 60 seconds
1141088150 	10.73	10.73
1141088182 	5.9	5.93 # interval length 32 seconds
1141088242 	0	0 # interval length 60 seconds
1141088272 	10.66	10.66
1141088305 	5.78	5.78 # interval length 33 seconds
1141088365 	0	0 # interval length 60 seconds
1141088395 	10.7	10.7
1141088427 	5.93	5.93 # interval length 32 seconds
1141088490 	0	0 # interval length 63 seconds
1141088520 	11.1	11.1
1141088551 	5.74	5.74 # interval length 31 seconds
1141088611 	0	0 # interval length 60 seconds
1141088641 	10.46	10.46
1141088674 	5.96	5.96 # interval length 33 seconds
1141088733 	0	0 # interval length 59 seconds
1141088763 	11	11
1141088794 	5.83	5.83 # interval length 31 seconds
1141088856 	0	0 # interval length 62 seconds
1141088886 	10.56	10.56
1141088918 	6.09	6.09 # interval length 32 seconds
1141088980 	0	0 # interval length 62 seconds
1141089010 	10.56	10.56
1141089043 	5.87	5.87 # interval length 33 seconds
1141089102 	0	0 # interval length 59 seconds
1141089132 	10.8	10.8
1141089164 	5.84	5.84 # interval length 32 seconds
1141089226 	0	0 # interval length 62 seconds
1141089256 	10.86	10.86
1141089288 	5.78	5.78 # interval length 32 seconds
1141089348 	0	0 # interval length 60 seconds
1141089378 	10.93	10.93
1141089410 	5.71	5.71 # interval length 32 seconds
1141089471 	0	0 # interval length 61 seconds
1141089501 	10.8	10.8
1141089533 	5.84	5.84 # interval length 32 seconds
1141089593 	0	0 # interval length 60 seconds
1141089623 	10.8	10.8
1141089655 	5.84	5.84 # interval length 32 seconds
1141089717 	0	0 # interval length 62 seconds
1141089747 	11.16	11.16
1141089778 	5.7	5.7 # interval length 31 seconds
1141089841 	0	0 # interval length 63 seconds
1141089871 	11.06	11.06
1141089902 	5.77	5.77 # interval length 31 seconds
1141089962 	0	0 # interval length 60 seconds
1141089992 	10.7	10.7
1141090024 	5.93	5.93 # interval length 32 seconds
1141090083 	0	0 # interval length 59 seconds
1141090113 	10.7	10.7
1141090145 	5.93	5.93 # interval length 32 seconds
1141090207 	0	0 # interval length 62 seconds
1141090237 	9.76	9.76
1141090280 	5.09	5.09 # interval length 43 seconds
1141090331 	0	0 # interval length 51 seconds
1141090361 	10.93	10.93
1141090393 	5.75	5.75 # interval length 32 seconds
1141090452 	0	0 # interval length 59 seconds
1141090482 	10.76	10.76
1141090514 	5.87	5.87 # interval length 32 seconds
1141090576 	0	0 # interval length 62 seconds
1141090606 	10.6	10.6
1141090638 	6.03	6.03 # interval length 32 seconds
1141090701 	0	0 # interval length 63 seconds
1141090731 	10.83	10.83
1141090763 	5.84	5.84 # interval length 32 seconds
1141090822 	0	0 # interval length 59 seconds
1141090852 	10.9	10.9
1141090883 	5.93	5.93 # interval length 31 seconds
1141090943 	0	0 # interval length 60 seconds
1141090973 	10.7	10.7
1141091005 	5.93	5.93 # interval length 32 seconds
1141091066 	0	0 # interval length 61 seconds
1141091096 	10.6	10.6
1141091129 	5.87	5.87 # interval length 33 seconds
1141091190 	0	0 # interval length 61 seconds
1141091220 	10.86	10.83
1141091252 	5.78	5.78 # interval length 32 seconds
1141091311 	0	0 # interval length 59 seconds
1141091341 	10.73	10.73
1141091373 	5.9	5.9 # interval length 32 seconds
1141091436 	0	0 # interval length 63 seconds
1141091466 	10.73	10.73
1141091498 	5.93	5.93 # interval length 32 seconds
1141091560 	0	0 # interval length 62 seconds
1141091590 	10.9	10.9
1141091621 	5.93	5.93 # interval length 31 seconds
1141091685 	0	0 # interval length 64 seconds
1141091715 	10.9	10.9
1141091746 	5.93	5.93 # interval length 31 seconds
1141091806 	0	0 # interval length 60 seconds
1141091836 	10.76	10.76
1141091868 	5.9	5.9 # interval length 32 seconds
1141091931 	0	0 # interval length 63 seconds
1141091961 	11	11
1141091992 	5.87	5.87 # interval length 31 seconds
1141092055 	0	0 # interval length 63 seconds
1141092085 	10.83	10.83
1141092116 	6	6 # interval length 31 seconds
1141092179 	0	0 # interval length 63 seconds
1141092209 	10.86	10.86
1141092241 	5.81	5.81 # interval length 32 seconds
1141092299 	0	0 # interval length 58 seconds
1141092329 	10.7	10.7
1141092361 	5.93	5.93 # interval length 32 seconds
1141092420 	0	0 # interval length 59 seconds
1141092450 	10.83	10.83
1141092482 	5.81	5.81 # interval length 32 seconds
1141092540 	0	0 # interval length 58 seconds
1141092570 	10.76	10.76
1141092602 	5.9	5.9 # interval length 32 seconds
1141092661 	0	0 # interval length 59 seconds
1141092691 	10.7	10.7
1141092723 	5.93	5.93 # interval length 32 seconds
1141092782 	0	0 # interval length 59 seconds
1141092812 	10.93	10.93
1141092844 	5.75	5.75 # interval length 32 seconds
1141092902 	0	0 # interval length 58 seconds
1141092932 	10.6	10.6
1141092964 	6.03	6.03 # interval length 32 seconds
1141093023 	0	0 # interval length 59 seconds
1141093053 	10.96	10.96
1141093085 	5.68	5.68 # interval length 32 seconds
1141093143 	0	0 # interval length 58 seconds
1141093173 	10.66	10.66
1141093205 	6	6 # interval length 32 seconds
1141093264 	0	0 # interval length 59 seconds
1141093294 	10.56	10.56
1141093337 	4.51	4.51 # interval length 43 seconds
1141093386 	0	0 # interval length 49 seconds
1141093416 	11.03	11.03
1141093447 	5.8	5.8 # interval length 31 seconds
1141093506 	0	0 # interval length 59 seconds
1141093536 	10.3	10.3
1141093569 	6.12	6.12 # interval length 33 seconds
1141093630 	0	0 # interval length 61 seconds
1141093660 	10.83	10.83
1141093692 	5.81	5.81 # interval length 32 seconds
1141093751 	0	0 # interval length 59 seconds
1141093781 	10.93	10.93
1141093813 	5.75	5.75 # interval length 32 seconds
1141093875 	0	0 # interval length 62 seconds
1141093905 	10.8	10.8
1141093937 	5.84	5.84 # interval length 32 seconds
1141093996 	0	0 # interval length 59 seconds
1141094026 	10.73	10.73
1141094058 	5.96	5.96 # interval length 32 seconds
1141094117 	0	0 # interval length 59 seconds
1141094147 	10.9	10.9
1141094178 	5.93	5.93 # interval length 31 seconds
1141094238 	0	0 # interval length 60 seconds
1141094268 	10.16	10.16
1141094302 	6.05	6.05 # interval length 34 seconds
1141094359 	0	0 # interval length 57 seconds
1141094389 	10.9	10.9
1141094421 	5.75	5.75 # interval length 32 seconds
1141094480 	0	0 # interval length 59 seconds
1141094510 	10.86	10.86
1141094541 	5.96	5.96 # interval length 31 seconds
1141094601 	0	0 # interval length 60 seconds
1141094631 	10.86	10.86
1141094663 	5.78	5.78 # interval length 32 seconds
1141094724 	0	0 # interval length 61 seconds
1141094754 	11.1	11.06
1141094785 	5.74	5.74 # interval length 31 seconds
1141094848 	0	0 # interval length 63 seconds
1141094878 	11.06	11.06
1141094910 	5.62	5.62 # interval length 32 seconds
1141094969 	0	0 # interval length 59 seconds
1141094999 	10.83	10.83
1141095031 	5.81	5.81 # interval length 32 seconds
1141095090 	0	0 # interval length 59 seconds
1141095120 	11.03	11.03
1141095151 	5.8	5.83 # interval length 31 seconds
1141095211 	0	0 # interval length 60 seconds
1141095241 	10.63	10.63
1141095273 	6.03	6.03 # interval length 32 seconds
1141095332 	0	0 # interval length 59 seconds
1141095369 	8.18	8.18 # interval length 37 seconds
1141095403 	6.14	6.14 # interval length 34 seconds
1141095453 	0	0 # interval length 50 seconds
1141095483 	10.86	10.86
1141095514 	5.96	5.96 # interval length 31 seconds
1141095574 	0	0 # interval length 60 seconds
1141095604 	10.6	10.6
1141095636 	6.03	6.03 # interval length 32 seconds
1141095698 	0	0 # interval length 62 seconds
1141095728 	10.8	10.76
1141095760 	5.84	5.84 # interval length 32 seconds
1141095819 	0	0 # interval length 59 seconds
1141095849 	10.73	10.73
1141095881 	5.9	5.9 # interval length 32 seconds
1141095942 	0	0 # interval length 61 seconds
1141095972 	10.96	10.96
1141096003 	5.87	5.87 # interval length 31 seconds
1141096063 	0	0 # interval length 60 seconds
1141096093 	10.7	10.7
1141096126 	5.75	5.75 # interval length 33 seconds
1141096184 	0	0 # interval length 58 seconds
1141096214 	10.86	10.86
1141096246 	5.81	5.81 # interval length 32 seconds
1141096305 	0	0 # interval length 59 seconds
1141096335 	10.86	10.86
1141096367 	5.81	5.81 # interval length 32 seconds
1141096426 	0	0 # interval length 59 seconds
1141096456 	10.9	10.9
1141096488 	5.78	5.78 # interval length 32 seconds
1141096547 	0	0 # interval length 59 seconds
