TIME    	TRYING	CONNECTED
1141106018 	0	0 # interval length 58 seconds
1141106048 	10.36	10.36
1141106081 	6.06	6.06 # interval length 33 seconds
1141106139 	0	0 # interval length 58 seconds
1141106169 	10.63	10.63
1141106201 	6	6 # interval length 32 seconds
1141106260 	0	0 # interval length 59 seconds
1141106290 	10.9	10.9
1141106322 	5.75	5.75 # interval length 32 seconds
1141106380 	0	0 # interval length 58 seconds
1141106410 	10.3	10.3
1141106444 	5.97	5.97 # interval length 34 seconds
1141106501 	0	0 # interval length 57 seconds
1141106531 	10.63	10.63
1141106563 	6	6 # interval length 32 seconds
1141106622 	0	0 # interval length 59 seconds
1141106652 	10.76	10.76
1141106684 	5.87	5.87 # interval length 32 seconds
1141106743 	0	0 # interval length 59 seconds
1141106773 	10.5	10.5
1141106806 	5.93	5.93 # interval length 33 seconds
1141106864 	0	0 # interval length 58 seconds
1141106894 	10.43	10.43
1141106927 	6	6 # interval length 33 seconds
1141106985 	0.01	0.01 # interval length 58 seconds
1141107015 	9.56	9.56
1141107050 	6.42	6.42 # interval length 35 seconds
1141107106 	0	0 # interval length 56 seconds
1141107136 	10.7	10.7
1141107171 	5.45	5.45 # interval length 35 seconds
1141107230 	0	0 # interval length 59 seconds
1141107260 	10.93	10.93
1141107291 	5.96	5.96 # interval length 31 seconds
1141107323 	0	0 # interval length 32 seconds
1141107353 	0.7	0.7
1141107383 	11.1	11.1
1141107439 	2.82	2.82 # interval length 56 seconds
1141107471 	0.03	0.03 # interval length 32 seconds
1141107501 	10.63	10.63
1141107533 	6.03	6.03 # interval length 32 seconds
1141107594 	0.01	0.01 # interval length 61 seconds
1141107624 	10.63	10.63
1141107660 	5.36	5.36 # interval length 36 seconds
1141107702 	0	0 # interval length 42 seconds
1141107732 	5.73	5.73
1141107762 	11	11
1141107818 	0.19	0.19 # interval length 56 seconds
1141107848 	2.9	2.9
1141107878 	10.83	10.83
1141107933 	1.83	1.83 # interval length 55 seconds
1141107963 	1.13	1.13
1141107993 	9.6	9.6
1141108026 	5.81	5.81 # interval length 33 seconds
1141108080 	0	0 # interval length 54 seconds
1141108110 	10.66	10.66
1141108142 	6.03	6.03 # interval length 32 seconds
1141108196 	0.01	0.01 # interval length 54 seconds
1141108226 	8.46	8.46
1141108264 	6.78	6.78 # interval length 38 seconds
1141108312 	0.02	0.02 # interval length 48 seconds
1141108342 	6.46	6.46
1141108385 	7.41	7.41 # interval length 43 seconds
1141108448 	0.01	0.01 # interval length 63 seconds
1141108478 	10.93	10.93
1141108510 	5.81	5.81 # interval length 32 seconds
1141108540 	0	0
1141108570 	0.73	0.73
1141108600 	11	11
1141108633 	4.87	4.87 # interval length 33 seconds
1141108688 	0.01	0.01 # interval length 55 seconds
1141108718 	10.76	10.76
